ERF_ID,Source_ID,Rupture_ID,Source_Name,Source_Type,Mag,Prob,Grid_Spacing,Num_Rows,Num_Columns,Num_Points,Start_Lat,Start_Lon,Start_Depth,End_Lat,End_Lon,End_Depth
100,1,50,SISZ_Fault_1,,5.0,0.5,0.2,12,18,216,63.821,-22.461,0.0,63.854,-22.461,2.465
100,2,50,SISZ_Fault_2,,5.0,0.5,0.2,12,18,216,63.857,-22.494,0.0,63.89,-22.494,2.476
100,3,50,SISZ_Fault_3,,5.0,0.5,0.2,12,18,216,63.857,-22.512,1.468,63.89,-22.512,3.946
100,4,50,SISZ_Fault_4,,5.0,0.5,0.2,12,18,216,63.797,-22.629,2.521,63.831,-22.629,5.0
100,5,50,SISZ_Fault_5,,5.0,0.5,0.2,12,18,216,63.883,-22.399,2.518,63.916,-22.399,5.0
100,6,50,SISZ_Fault_6,,5.0,0.5,0.2,12,18,216,63.882,-22.36,2.506,63.916,-22.36,5.0
100,7,50,SISZ_Fault_7,,5.0,0.5,0.2,12,18,216,63.793,-22.631,0.238,63.827,-22.631,2.737
100,8,50,SISZ_Fault_8,,5.0,0.5,0.2,12,18,216,63.804,-22.65,0.0,63.838,-22.65,2.501
100,9,50,SISZ_Fault_9,,5.0,0.5,0.2,12,18,216,63.812,-22.684,1.317,63.846,-22.684,3.829
100,10,50,SISZ_Fault_10,,5.0,0.5,0.2,12,18,216,63.812,-22.645,0.62,63.845,-22.645,3.132
100,11,50,SISZ_Fault_11,,5.0,0.5,0.2,12,18,216,63.824,-22.414,2.114,63.858,-22.414,4.633
100,12,50,SISZ_Fault_12,,5.0,0.5,0.2,12,18,216,63.837,-22.593,0.509,63.871,-22.593,3.036
100,13,50,SISZ_Fault_13,,5.0,0.5,0.2,12,18,216,63.815,-22.7,0.0,63.849,-22.7,2.527
100,14,50,SISZ_Fault_14,,5.0,0.5,0.2,12,19,228,63.776,-22.751,0.296,63.81,-22.751,2.83
100,15,50,SISZ_Fault_15,,5.0,0.5,0.2,12,19,228,63.852,-22.445,2.393,63.886,-22.445,4.929
100,16,50,SISZ_Fault_16,,5.0,0.5,0.2,12,19,228,63.885,-22.38,0.0,63.92,-22.38,2.557
100,17,50,SISZ_Fault_17,,5.0,0.5,0.2,12,19,228,63.826,-22.608,0.866,63.861,-22.608,3.429
100,18,50,SISZ_Fault_18,,5.0,0.5,0.2,12,19,228,63.8,-22.562,0.19,63.835,-22.562,2.755
100,19,50,SISZ_Fault_19,,5.0,0.5,0.2,12,19,228,63.859,-22.416,0.0,63.894,-22.416,2.57
100,20,50,SISZ_Fault_20,,5.0,0.5,0.2,12,19,228,63.786,-22.712,1.281,63.821,-22.712,3.851
100,21,50,SISZ_Fault_21,,5.0,0.5,0.2,12,19,228,63.777,-22.75,1.901,63.811,-22.75,4.472
100,22,50,SISZ_Fault_22,,5.0,0.5,0.2,12,19,228,63.848,-22.384,0.0,63.883,-22.384,2.571
100,23,50,SISZ_Fault_23,,5.0,0.5,0.2,12,19,228,63.845,-22.544,2.29,63.88,-22.544,4.867
100,24,50,SISZ_Fault_24,,5.0,0.5,0.2,12,19,228,63.838,-22.458,0.0,63.872,-22.458,2.578
100,25,50,SISZ_Fault_25,,5.0,0.5,0.2,12,19,228,63.818,-22.503,2.417,63.853,-22.503,5.0
100,26,50,SISZ_Fault_26,,5.0,0.5,0.2,12,19,228,63.859,-22.483,2.414,63.894,-22.483,5.0
100,27,50,SISZ_Fault_27,,5.0,0.5,0.2,12,19,228,63.842,-22.443,0.0,63.877,-22.443,2.586
100,28,50,SISZ_Fault_28,,5.0,0.5,0.2,12,19,228,63.834,-22.349,0.0,63.869,-22.349,2.588
100,29,51,SISZ_Fault_29,,5.1,0.5,0.2,12,19,228,63.81,-22.6,1.195,63.845,-22.6,3.793
100,30,51,SISZ_Fault_30,,5.1,0.5,0.2,12,19,228,63.818,-22.489,0.125,63.853,-22.489,2.723
100,31,51,SISZ_Fault_31,,5.1,0.5,0.2,12,19,228,63.821,-22.621,0.428,63.856,-22.621,3.027
100,32,51,SISZ_Fault_32,,5.1,0.5,0.2,13,19,247,63.831,-22.558,2.4,63.866,-22.558,5.0
100,33,51,SISZ_Fault_33,,5.1,0.5,0.2,13,19,247,63.808,-22.509,2.399,63.843,-22.509,5.0
100,34,51,SISZ_Fault_34,,5.1,0.5,0.2,13,19,247,63.859,-22.397,1.872,63.894,-22.397,4.473
100,35,51,SISZ_Fault_35,,5.1,0.5,0.2,13,19,247,63.821,-22.661,0.0,63.856,-22.661,2.603
100,36,51,SISZ_Fault_36,,5.1,0.5,0.2,13,19,247,63.873,-22.387,0.0,63.908,-22.387,2.606
100,37,51,SISZ_Fault_37,,5.1,0.5,0.2,13,19,247,63.857,-22.461,0.0,63.892,-22.461,2.62
100,38,51,SISZ_Fault_38,,5.1,0.5,0.2,13,19,247,63.836,-22.561,0.145,63.872,-22.561,2.766
100,39,51,SISZ_Fault_39,,5.1,0.5,0.2,13,19,247,63.824,-22.639,1.014,63.86,-22.639,3.636
100,40,51,SISZ_Fault_40,,5.1,0.5,0.2,13,19,247,63.817,-22.566,0.0,63.852,-22.566,2.629
100,41,51,SISZ_Fault_41,,5.1,0.5,0.2,13,19,247,63.79,-22.723,1.372,63.825,-22.723,4.004
100,42,51,SISZ_Fault_42,,5.1,0.5,0.2,13,19,247,63.823,-22.63,1.733,63.859,-22.63,4.37
100,43,51,SISZ_Fault_43,,5.1,0.5,0.2,13,19,247,63.824,-22.646,0.0,63.859,-22.646,2.639
100,44,51,SISZ_Fault_44,,5.1,0.5,0.2,13,19,247,63.785,-22.737,2.354,63.82,-22.737,5.0
100,45,51,SISZ_Fault_45,,5.1,0.5,0.2,13,19,247,63.856,-22.503,0.499,63.892,-22.503,3.147
100,46,51,SISZ_Fault_46,,5.1,0.5,0.2,13,19,247,63.857,-22.375,0.8,63.892,-22.375,3.45
100,47,51,SISZ_Fault_47,,5.1,0.5,0.2,13,19,247,63.809,-22.595,0.927,63.845,-22.595,3.582
100,48,51,SISZ_Fault_48,,5.1,0.5,0.2,13,19,247,63.819,-22.533,0.574,63.855,-22.533,3.229
100,49,51,SISZ_Fault_49,,5.1,0.5,0.2,13,19,247,63.855,-22.505,0.159,63.891,-22.505,2.818
100,50,51,SISZ_Fault_50,,5.1,0.5,0.2,13,19,247,63.835,-22.443,0.766,63.871,-22.443,3.431
100,51,51,SISZ_Fault_51,,5.1,0.5,0.2,13,20,260,63.8,-22.715,2.331,63.836,-22.715,5.0
100,52,51,SISZ_Fault_52,,5.1,0.5,0.2,13,20,260,63.824,-22.382,2.329,63.86,-22.382,5.0
100,53,51,SISZ_Fault_53,,5.1,0.5,0.2,13,20,260,63.854,-22.49,1.891,63.891,-22.49,4.574
100,54,51,SISZ_Fault_54,,5.1,0.5,0.2,13,20,260,63.871,-22.434,1.826,63.907,-22.434,4.508
100,55,51,SISZ_Fault_55,,5.1,0.5,0.2,13,20,260,63.831,-22.546,2.31,63.867,-22.546,5.0
100,56,51,SISZ_Fault_56,,5.1,0.5,0.2,13,20,260,63.802,-22.695,2.265,63.838,-22.695,4.961
100,57,51,SISZ_Fault_57,,5.1,0.5,0.2,13,20,260,63.781,-22.722,1.203,63.817,-22.722,3.9
100,58,51,SISZ_Fault_58,,5.1,0.5,0.2,13,20,260,63.798,-22.648,2.292,63.835,-22.648,5.0
100,59,51,SISZ_Fault_59,,5.1,0.5,0.2,13,20,260,63.8,-22.705,0.689,63.837,-22.705,3.401
100,60,51,SISZ_Fault_60,,5.1,0.5,0.2,13,20,260,63.801,-22.673,0.0,63.837,-22.673,2.714
100,61,51,SISZ_Fault_61,,5.1,0.5,0.2,13,20,260,63.837,-22.456,0.0,63.873,-22.456,2.721
100,62,51,SISZ_Fault_62,,5.1,0.5,0.2,13,20,260,63.809,-22.611,0.26,63.846,-22.611,2.981
100,63,51,SISZ_Fault_63,,5.1,0.5,0.2,13,20,260,63.808,-22.569,1.892,63.845,-22.569,4.629
100,64,51,SISZ_Fault_64,,5.1,0.5,0.2,13,20,260,63.834,-22.524,0.455,63.871,-22.524,3.194
100,65,51,SISZ_Fault_65,,5.1,0.5,0.2,13,20,260,63.784,-22.724,0.202,63.821,-22.724,2.948
100,66,51,SISZ_Fault_66,,5.1,0.5,0.2,13,20,260,63.845,-22.545,1.535,63.882,-22.545,4.287
100,67,51,SISZ_Fault_67,,5.1,0.5,0.2,13,20,260,63.781,-22.733,0.0,63.818,-22.733,2.751
100,68,51,SISZ_Fault_68,,5.1,0.5,0.2,13,20,260,63.835,-22.584,1.463,63.872,-22.584,4.217
100,69,51,SISZ_Fault_69,,5.1,0.5,0.2,13,20,260,63.826,-22.633,2.244,63.863,-22.633,5.0
100,70,51,SISZ_Fault_70,,5.1,0.5,0.2,13,20,260,63.814,-22.489,2.241,63.851,-22.489,5.0
100,71,51,SISZ_Fault_71,,5.1,0.5,0.2,13,20,260,63.832,-22.609,2.236,63.869,-22.609,5.0
100,72,51,SISZ_Fault_72,,5.1,0.5,0.2,13,20,260,63.839,-22.566,0.0,63.876,-22.566,2.772
100,73,51,SISZ_Fault_73,,5.1,0.5,0.2,13,20,260,63.833,-22.415,2.225,63.87,-22.415,5.0
100,74,51,SISZ_Fault_74,,5.1,0.5,0.2,13,20,260,63.82,-22.543,0.0,63.857,-22.543,2.779
100,75,51,SISZ_Fault_75,,5.1,0.5,0.2,13,20,260,63.883,-22.355,0.0,63.92,-22.355,2.784
100,76,51,SISZ_Fault_76,,5.1,0.5,0.2,13,20,260,63.865,-22.409,2.207,63.902,-22.409,5.0
100,77,51,SISZ_Fault_77,,5.1,0.5,0.2,13,20,260,63.838,-22.578,1.72,63.876,-22.578,4.516
100,78,51,SISZ_Fault_78,,5.1,0.5,0.2,14,21,294,63.819,-22.493,2.199,63.857,-22.493,5.0
100,79,51,SISZ_Fault_79,,5.1,0.5,0.2,14,21,294,63.791,-22.695,0.607,63.828,-22.695,3.409
100,80,51,SISZ_Fault_80,,5.1,0.5,0.2,14,21,294,63.815,-22.614,1.679,63.853,-22.614,4.49
100,81,51,SISZ_Fault_81,,5.1,0.5,0.2,14,21,294,63.818,-22.649,0.0,63.856,-22.649,2.813
100,82,51,SISZ_Fault_82,,5.1,0.5,0.2,14,21,294,63.853,-22.356,0.025,63.891,-22.356,2.845
100,83,51,SISZ_Fault_83,,5.1,0.5,0.2,14,21,294,63.798,-22.662,2.177,63.836,-22.662,5.0
100,84,51,SISZ_Fault_84,,5.1,0.5,0.2,14,21,294,63.812,-22.566,0.69,63.85,-22.566,3.517
100,85,51,SISZ_Fault_85,,5.1,0.5,0.2,14,21,294,63.819,-22.58,0.0,63.857,-22.58,2.834
100,86,52,SISZ_Fault_86,,5.2,0.5,0.2,14,21,294,63.84,-22.571,2.163,63.878,-22.571,5.0
100,87,52,SISZ_Fault_87,,5.2,0.5,0.2,14,21,294,63.817,-22.535,0.72,63.855,-22.535,3.56
100,88,52,SISZ_Fault_88,,5.2,0.5,0.2,14,21,294,63.799,-22.629,0.0,63.838,-22.629,2.841
100,89,52,SISZ_Fault_89,,5.2,0.5,0.2,14,21,294,63.816,-22.475,2.158,63.855,-22.475,5.0
100,90,52,SISZ_Fault_90,,5.2,0.5,0.2,14,21,294,63.819,-22.461,0.0,63.857,-22.461,2.843
100,91,52,SISZ_Fault_91,,5.2,0.5,0.2,14,21,294,63.795,-22.61,2.152,63.833,-22.61,5.0
100,92,52,SISZ_Fault_92,,5.2,0.5,0.2,14,21,294,63.819,-22.661,2.082,63.857,-22.661,4.935
100,93,52,SISZ_Fault_93,,5.2,0.5,0.2,14,21,294,63.823,-22.596,2.005,63.862,-22.596,4.858
100,94,52,SISZ_Fault_94,,5.2,0.5,0.2,14,21,294,63.805,-22.621,0.0,63.843,-22.621,2.857
100,95,52,SISZ_Fault_95,,5.2,0.5,0.2,14,21,294,63.783,-22.741,2.141,63.821,-22.741,5.0
100,96,52,SISZ_Fault_96,,5.2,0.5,0.2,14,21,294,63.832,-22.549,0.252,63.871,-22.549,3.122
100,97,52,SISZ_Fault_97,,5.2,0.5,0.2,14,21,294,63.805,-22.552,0.534,63.844,-22.552,3.432
100,98,52,SISZ_Fault_98,,5.2,0.5,0.2,14,21,294,63.829,-22.53,2.087,63.868,-22.53,5.0
100,99,52,SISZ_Fault_99,,5.2,0.5,0.2,14,21,294,63.851,-22.453,0.0,63.89,-22.453,2.914
100,100,52,SISZ_Fault_100,,5.2,0.5,0.2,14,21,294,63.824,-22.384,0.0,63.863,-22.384,2.918
100,101,52,SISZ_Fault_101,,5.2,0.5,0.2,14,21,294,63.822,-22.454,1.684,63.861,-22.454,4.603
100,102,52,SISZ_Fault_102,,5.2,0.5,0.2,14,21,294,63.83,-22.378,0.0,63.869,-22.378,2.928
100,103,52,SISZ_Fault_103,,5.2,0.5,0.2,14,22,308,63.829,-22.581,0.0,63.869,-22.581,2.933
100,104,52,SISZ_Fault_104,,5.2,0.5,0.2,14,22,308,63.796,-22.746,1.669,63.836,-22.746,4.612
100,105,52,SISZ_Fault_105,,5.2,0.5,0.2,14,22,308,63.852,-22.442,0.827,63.891,-22.442,3.772
100,106,52,SISZ_Fault_106,,5.2,0.5,0.2,14,22,308,63.833,-22.526,1.605,63.872,-22.526,4.561
100,107,52,SISZ_Fault_107,,5.2,0.5,0.2,14,22,308,63.808,-22.634,2.01,63.848,-22.634,4.97
100,108,52,SISZ_Fault_108,,5.2,0.5,0.2,14,22,308,63.79,-22.661,0.863,63.83,-22.661,3.828
100,109,52,SISZ_Fault_109,,5.2,0.5,0.2,14,22,308,63.841,-22.428,0.0,63.881,-22.428,2.965
100,110,52,SISZ_Fault_110,,5.2,0.5,0.2,14,22,308,63.816,-22.579,0.0,63.856,-22.579,2.982
100,111,52,SISZ_Fault_111,,5.2,0.5,0.2,14,22,308,63.806,-22.682,1.282,63.846,-22.682,4.266
100,112,52,SISZ_Fault_112,,5.2,0.5,0.2,14,22,308,63.806,-22.657,1.467,63.846,-22.657,4.464
100,113,52,SISZ_Fault_113,,5.2,0.5,0.2,15,22,330,63.852,-22.384,0.0,63.893,-22.384,3.013
100,114,52,SISZ_Fault_114,,5.2,0.5,0.2,15,22,330,63.826,-22.563,0.987,63.866,-22.563,4.017
100,115,52,SISZ_Fault_115,,5.2,0.5,0.2,15,22,330,63.876,-22.378,0.0,63.917,-22.378,3.031
100,116,52,SISZ_Fault_116,,5.2,0.5,0.2,15,22,330,63.844,-22.52,1.969,63.885,-22.52,5.0
100,117,52,SISZ_Fault_117,,5.2,0.5,0.2,15,22,330,63.869,-22.357,1.96,63.909,-22.357,5.0
100,118,52,SISZ_Fault_118,,5.2,0.5,0.2,15,22,330,63.855,-22.389,1.958,63.896,-22.389,5.0
100,119,52,SISZ_Fault_119,,5.2,0.5,0.2,15,22,330,63.816,-22.578,1.957,63.857,-22.578,5.0
100,120,52,SISZ_Fault_120,,5.2,0.5,0.2,15,22,330,63.841,-22.467,1.95,63.882,-22.467,5.0
100,121,52,SISZ_Fault_121,,5.2,0.5,0.2,15,22,330,63.805,-22.548,0.0,63.846,-22.548,3.05
100,122,52,SISZ_Fault_122,,5.2,0.5,0.2,15,22,330,63.86,-22.416,0.727,63.901,-22.416,3.785
100,123,52,SISZ_Fault_123,,5.2,0.5,0.2,15,22,330,63.797,-22.701,1.774,63.838,-22.701,4.832
100,124,52,SISZ_Fault_124,,5.2,0.5,0.2,15,22,330,63.875,-22.393,0.734,63.916,-22.393,3.799
100,125,52,SISZ_Fault_125,,5.2,0.5,0.2,15,23,345,63.846,-22.359,0.885,63.888,-22.359,3.954
100,126,52,SISZ_Fault_126,,5.2,0.5,0.2,15,23,345,63.788,-22.712,1.911,63.829,-22.712,5.0
100,127,52,SISZ_Fault_127,,5.2,0.5,0.2,15,23,345,63.8,-22.699,0.0,63.842,-22.699,3.095
100,128,52,SISZ_Fault_128,,5.2,0.5,0.2,15,23,345,63.804,-22.614,1.904,63.846,-22.614,5.0
100,129,52,SISZ_Fault_129,,5.2,0.5,0.2,15,23,345,63.825,-22.562,0.0,63.867,-22.562,3.105
100,130,52,SISZ_Fault_130,,5.2,0.5,0.2,15,23,345,63.8,-22.668,1.874,63.842,-22.668,5.0
100,131,52,SISZ_Fault_131,,5.2,0.5,0.2,15,23,345,63.805,-22.69,1.868,63.847,-22.69,5.0
100,132,52,SISZ_Fault_132,,5.2,0.5,0.2,15,23,345,63.842,-22.445,0.0,63.884,-22.445,3.139
100,133,52,SISZ_Fault_133,,5.2,0.5,0.2,15,23,345,63.835,-22.538,1.613,63.877,-22.538,4.756
100,134,52,SISZ_Fault_134,,5.2,0.5,0.2,15,23,345,63.794,-22.623,0.0,63.836,-22.623,3.156
100,135,53,SISZ_Fault_135,,5.3,0.5,0.2,15,23,345,63.828,-22.389,0.638,63.871,-22.389,3.817
100,136,53,SISZ_Fault_136,,5.3,0.5,0.2,15,23,345,63.808,-22.552,0.796,63.851,-22.552,3.993
100,137,53,SISZ_Fault_137,,5.3,0.5,0.2,15,23,345,63.796,-22.694,1.801,63.839,-22.694,5.0
100,138,53,SISZ_Fault_138,,5.3,0.5,0.2,16,24,384,63.826,-22.426,1.505,63.869,-22.426,4.708
100,139,53,SISZ_Fault_139,,5.3,0.5,0.2,16,24,384,63.831,-22.356,0.266,63.875,-22.356,3.481
100,140,53,SISZ_Fault_140,,5.3,0.5,0.2,16,24,384,63.788,-22.699,0.0,63.831,-22.699,3.217
100,141,53,SISZ_Fault_141,,5.3,0.5,0.2,16,24,384,63.812,-22.597,0.464,63.855,-22.597,3.692
100,142,53,SISZ_Fault_142,,5.3,0.5,0.2,16,24,384,63.807,-22.587,0.835,63.85,-22.587,4.072
100,143,53,SISZ_Fault_143,,5.3,0.5,0.2,16,24,384,63.85,-22.418,0.0,63.893,-22.418,3.237
100,144,53,SISZ_Fault_144,,5.3,0.5,0.2,16,24,384,63.782,-22.734,0.0,63.825,-22.734,3.237
100,145,53,SISZ_Fault_145,,5.3,0.5,0.2,16,24,384,63.8,-22.701,0.0,63.843,-22.701,3.237
100,146,53,SISZ_Fault_146,,5.3,0.5,0.2,16,24,384,63.818,-22.629,1.763,63.862,-22.629,5.0
100,147,53,SISZ_Fault_147,,5.3,0.5,0.2,16,24,384,63.807,-22.673,1.763,63.851,-22.673,5.0
100,148,53,SISZ_Fault_148,,5.3,0.5,0.2,16,24,384,63.785,-22.723,1.546,63.828,-22.723,4.783
100,149,53,SISZ_Fault_149,,5.3,0.5,0.2,16,24,384,63.819,-22.435,1.763,63.863,-22.435,5.0
100,150,53,SISZ_Fault_150,,5.3,0.5,0.2,16,24,384,63.777,-22.747,1.763,63.821,-22.747,5.0
100,151,53,SISZ_Fault_151,,5.3,0.5,0.2,16,24,384,63.85,-22.469,0.0,63.894,-22.469,3.237
100,152,53,SISZ_Fault_152,,5.3,0.5,0.2,16,24,384,63.83,-22.405,1.474,63.873,-22.405,4.712
100,153,53,SISZ_Fault_153,,5.3,0.5,0.2,16,24,384,63.79,-22.688,1.763,63.833,-22.688,5.0
100,154,53,SISZ_Fault_154,,5.3,0.5,0.2,16,24,384,63.813,-22.507,0.0,63.856,-22.507,3.237
100,155,53,SISZ_Fault_155,,5.3,0.5,0.2,16,24,384,63.781,-22.748,0.252,63.825,-22.748,3.489
100,156,53,SISZ_Fault_156,,5.3,0.5,0.2,16,24,384,63.806,-22.654,0.0,63.849,-22.654,3.237
100,157,53,SISZ_Fault_157,,5.3,0.5,0.2,16,24,384,63.862,-22.356,0.0,63.905,-22.356,3.237
100,158,53,SISZ_Fault_158,,5.3,0.5,0.2,16,24,384,63.855,-22.456,1.763,63.898,-22.456,5.0
100,159,53,SISZ_Fault_159,,5.3,0.5,0.2,16,24,384,63.861,-22.35,1.763,63.905,-22.35,5.0
100,160,53,SISZ_Fault_160,,5.3,0.5,0.2,16,24,384,63.821,-22.528,1.024,63.864,-22.528,4.262
100,161,53,SISZ_Fault_161,,5.3,0.5,0.2,16,24,384,63.828,-22.591,0.0,63.872,-22.591,3.237
100,162,53,SISZ_Fault_162,,5.3,0.5,0.2,16,24,384,63.8,-22.573,0.0,63.843,-22.573,3.237
100,163,53,SISZ_Fault_163,,5.3,0.5,0.2,16,24,384,63.826,-22.55,1.319,63.87,-22.55,4.556
100,164,53,SISZ_Fault_164,,5.3,0.5,0.2,16,24,384,63.851,-22.38,0.915,63.894,-22.38,4.152
100,165,53,SISZ_Fault_165,,5.3,0.5,0.2,16,24,384,63.839,-22.544,0.804,63.882,-22.544,4.042
100,166,53,SISZ_Fault_166,,5.3,0.5,0.2,16,24,384,63.848,-22.456,0.266,63.892,-22.456,3.504
100,167,53,SISZ_Fault_167,,5.3,0.5,0.2,16,24,384,63.828,-22.535,1.763,63.871,-22.535,5.0
100,168,53,SISZ_Fault_168,,5.3,0.5,0.2,16,24,384,63.878,-22.371,0.0,63.922,-22.371,3.237
100,169,53,SISZ_Fault_169,,5.3,0.5,0.2,16,24,384,63.86,-22.434,0.0,63.903,-22.434,3.237
100,170,53,SISZ_Fault_170,,5.3,0.5,0.2,16,24,384,63.815,-22.617,1.763,63.858,-22.617,5.0
100,171,53,SISZ_Fault_171,,5.3,0.5,0.2,16,24,384,63.825,-22.407,1.428,63.869,-22.407,4.665
100,172,53,SISZ_Fault_172,,5.3,0.5,0.2,16,24,384,63.79,-22.682,0.0,63.834,-22.682,3.237
100,173,53,SISZ_Fault_173,,5.3,0.5,0.2,16,24,384,63.836,-22.534,0.621,63.88,-22.534,3.858
100,174,53,SISZ_Fault_174,,5.3,0.5,0.2,16,24,384,63.79,-22.749,1.186,63.833,-22.749,4.423
100,175,53,SISZ_Fault_175,,5.3,0.5,0.2,16,24,384,63.811,-22.57,0.0,63.855,-22.57,3.237
100,176,53,SISZ_Fault_176,,5.3,0.5,0.2,16,24,384,63.806,-22.624,0.109,63.85,-22.624,3.346
100,177,53,SISZ_Fault_177,,5.3,0.5,0.2,16,24,384,63.796,-22.734,1.763,63.84,-22.734,5.0
100,178,53,SISZ_Fault_178,,5.3,0.5,0.2,16,24,384,63.859,-22.433,1.141,63.902,-22.433,4.379
100,179,53,SISZ_Fault_179,,5.3,0.5,0.2,16,24,384,63.796,-22.669,1.763,63.839,-22.669,5.0
100,180,53,SISZ_Fault_180,,5.3,0.5,0.2,16,24,384,63.781,-22.743,0.897,63.825,-22.743,4.134
100,181,53,SISZ_Fault_181,,5.3,0.5,0.2,16,24,384,63.796,-22.717,0.715,63.839,-22.717,3.952
100,182,53,SISZ_Fault_182,,5.3,0.5,0.2,16,24,384,63.843,-22.394,0.0,63.886,-22.394,3.237
100,183,53,SISZ_Fault_183,,5.3,0.5,0.2,16,24,384,63.84,-22.484,0.0,63.883,-22.484,3.237
100,184,53,SISZ_Fault_184,,5.3,0.5,0.2,16,24,384,63.799,-22.613,1.721,63.842,-22.613,4.958
100,185,53,SISZ_Fault_185,,5.3,0.5,0.2,16,24,384,63.834,-22.557,0.699,63.877,-22.557,3.936
100,186,53,SISZ_Fault_186,,5.3,0.5,0.2,16,24,384,63.838,-22.397,0.0,63.882,-22.397,3.237
100,187,53,SISZ_Fault_187,,5.3,0.5,0.2,16,24,384,63.821,-22.456,0.0,63.865,-22.456,3.237
100,188,53,SISZ_Fault_188,,5.3,0.5,0.2,16,24,384,63.781,-22.737,0.0,63.825,-22.737,3.237
100,189,53,SISZ_Fault_189,,5.3,0.5,0.2,16,24,384,63.857,-22.415,0.0,63.9,-22.415,3.237
100,190,53,SISZ_Fault_190,,5.3,0.5,0.2,16,24,384,63.822,-22.605,0.714,63.866,-22.605,3.951
100,191,54,SISZ_Fault_191,,5.4,0.5,0.2,16,24,384,63.782,-22.718,1.763,63.825,-22.718,5.0
100,192,54,SISZ_Fault_192,,5.4,0.5,0.2,16,24,384,63.848,-22.476,0.0,63.891,-22.476,3.237
100,193,54,SISZ_Fault_193,,5.4,0.5,0.2,16,24,384,63.841,-22.52,0.0,63.885,-22.52,3.237
100,194,54,SISZ_Fault_194,,5.4,0.5,0.2,16,24,384,63.882,-22.35,0.0,63.925,-22.35,3.237
100,195,54,SISZ_Fault_195,,5.4,0.5,0.2,16,24,384,63.833,-22.498,1.763,63.877,-22.498,5.0
100,196,54,SISZ_Fault_196,,5.4,0.5,0.2,16,24,384,63.827,-22.357,0.992,63.871,-22.357,4.23
100,197,54,SISZ_Fault_197,,5.4,0.5,0.2,16,24,384,63.839,-22.513,0.0,63.882,-22.513,3.237
100,198,54,SISZ_Fault_198,,5.4,0.5,0.2,16,24,384,63.81,-22.558,1.763,63.854,-22.558,5.0
100,199,54,SISZ_Fault_199,,5.4,0.5,0.2,16,24,384,63.818,-22.503,0.641,63.861,-22.503,3.879
100,200,54,SISZ_Fault_200,,5.4,0.5,0.2,16,24,384,63.842,-22.507,0.122,63.886,-22.507,3.359
100,201,54,SISZ_Fault_201,,5.4,0.5,0.2,16,24,384,63.82,-22.58,0.558,63.864,-22.58,3.796
100,202,54,SISZ_Fault_202,,5.4,0.5,0.2,16,24,384,63.823,-22.501,1.763,63.866,-22.501,5.0
100,203,54,SISZ_Fault_203,,5.4,0.5,0.2,16,24,384,63.787,-22.75,0.0,63.831,-22.75,3.237
100,204,54,SISZ_Fault_204,,5.4,0.5,0.2,16,24,384,63.845,-22.508,0.0,63.889,-22.508,3.237
100,205,54,SISZ_Fault_205,,5.4,0.5,0.2,16,24,384,63.852,-22.409,0.0,63.896,-22.409,3.237
100,206,54,SISZ_Fault_206,,5.4,0.5,0.2,16,24,384,63.814,-22.605,0.0,63.858,-22.605,3.237
100,207,54,SISZ_Fault_207,,5.4,0.5,0.2,16,24,384,63.813,-22.641,1.204,63.856,-22.641,4.441
100,208,54,SISZ_Fault_208,,5.4,0.5,0.2,16,24,384,63.815,-22.582,1.206,63.859,-22.582,4.444
100,209,54,SISZ_Fault_209,,5.4,0.5,0.2,16,24,384,63.81,-22.554,1.763,63.854,-22.554,5.0
100,210,54,SISZ_Fault_210,,5.4,0.5,0.2,16,24,384,63.815,-22.603,0.0,63.859,-22.603,3.237
100,211,54,SISZ_Fault_211,,5.4,0.5,0.2,16,24,384,63.816,-22.529,1.763,63.86,-22.529,5.0
100,212,54,SISZ_Fault_212,,5.4,0.5,0.2,16,24,384,63.788,-22.707,0.572,63.832,-22.707,3.81
100,213,54,SISZ_Fault_213,,5.4,0.5,0.2,16,24,384,63.849,-22.432,1.435,63.893,-22.432,4.673
100,214,54,SISZ_Fault_214,,5.4,0.5,0.2,16,24,384,63.84,-22.381,0.0,63.883,-22.381,3.237
100,215,54,SISZ_Fault_215,,5.4,0.5,0.2,16,24,384,63.816,-22.609,0.0,63.859,-22.609,3.237
100,216,54,SISZ_Fault_216,,5.4,0.5,0.2,16,24,384,63.849,-22.364,1.763,63.893,-22.364,5.0
100,217,54,SISZ_Fault_217,,5.4,0.5,0.2,16,24,384,63.777,-22.75,0.588,63.821,-22.75,3.825
100,218,54,SISZ_Fault_218,,5.4,0.5,0.2,16,24,384,63.824,-22.588,1.763,63.868,-22.588,5.0
100,219,54,SISZ_Fault_219,,5.4,0.5,0.2,16,24,384,63.82,-22.493,1.763,63.863,-22.493,5.0
100,220,54,SISZ_Fault_220,,5.4,0.5,0.2,16,24,384,63.837,-22.532,1.398,63.881,-22.532,4.635
100,221,54,SISZ_Fault_221,,5.4,0.5,0.2,16,24,384,63.795,-22.722,0.084,63.838,-22.722,3.321
100,222,54,SISZ_Fault_222,,5.4,0.5,0.2,16,24,384,63.85,-22.416,0.0,63.893,-22.416,3.237
100,223,54,SISZ_Fault_223,,5.4,0.5,0.2,16,24,384,63.823,-22.615,1.667,63.866,-22.615,4.904
100,224,54,SISZ_Fault_224,,5.4,0.5,0.2,16,24,384,63.854,-22.374,1.631,63.897,-22.374,4.868
